           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.228
1,0.5,0.25,0.25,,
2,0.5,0.25,0.25,,
3,0.4,0.16,0.24,,
4,0.5,0.26,0.24,,
5,0.5,0.26,0.24,,
6,0.4,0.16,0.24,,
7,0.5,0.27,0.23,,
8,0.4,0.17,0.23,,
9,0.4,0.17,0.23,,
10,0.4,0.17,0.23,,
11,0.5,0.28,0.22,,
12,1.2,0.97,0.23,,
13,0.6,0.37,0.23,,
14,0.6,0.37,0.23,,
15,0.6,0.37,0.23,,
16,0.5,0.28,0.22,,
17,0.6,0.38,0.22,,
18,0.4,0.18,0.22,,
19,0.8,0.58,0.22,,
20,0.4,0.18,0.22,,
21,0.6,0.38,0.22,,
22,0.6,0.38,0.22,,
23,2.6,2.36,0.24,,
24,3,2.74,0.26,,
25,23,22.52,0.48,,
26,212,209.44,2.56,,
27,82.2,78.91,3.29,,
28,39.1,35.52,3.58,,
29,180,174.75,5.25,,
30,39.6,34.12,5.48,,
1,13.3,7.85,5.45,,
2,10,4.61,5.39,,
3,9,3.68,5.32,,
4,6,0.78,5.22,,
5,5,0,5,,
6,5.2,0.3,4.9,,
7,9.8,4.95,4.85,,
8,10,5.19,4.81,,
9,8.9,4.15,4.75,,
10,9.9,5.19,4.71,,
11,10,5.33,4.67,,
12,52.9,47.85,5.05,,
13,20.2,15.1,5.1,,
14,22,16.83,5.17,,
15,5,0,5,,
16,6,1.09,4.91,,
17,4.4,0,4.4,,
18,3.7,0,3.7,,
19,3.4,0,3.4,,
20,3,0,3,,
21,20.6,17.49,3.11,,
22,13,9.85,3.15,,
23,186.6,181.7,4.9,,
24,105,99.21,5.79,,
25,108.3,101.62,6.68,,
26,118.8,111.14,7.66,,
27,55,47.03,7.97,,
28,34.2,26.13,8.07,,
29,30.4,22.27,8.13,,
30,29.9,21.71,8.19,,
31,28,19.78,8.22,,
1,25.8,17.57,8.23,,
2,12,3.89,8.11,,
3,16,7.98,8.02,,
4,14,6.08,7.92,,
5,34.6,26.57,8.03,,
6,27.6,19.54,8.06,,
7,40,31.78,8.22,,
8,303.2,292.23,10.97,,
9,174,161.64,12.36,,
10,121.9,108.71,13.19,,
11,66.6,53.14,13.46,,
12,121.6,107.34,14.26,,
13,200,184.19,15.81,,
14,150,133.18,16.82,,
15,92.5,75.27,17.23,,
16,52.3,35.06,17.24,,
17,44.2,27.04,17.16,,
18,34.8,17.8,17,,
19,31.5,14.7,16.8,,
20,26.6,10.03,16.57,,
21,16.5,0.26,16.24,,
22,92.3,75.63,16.67,,
23,77,60.07,16.93,,
24,665,642.01,22.99,,
25,1003.5,971.29,32.21,,
26,553.6,516.89,36.71,,
27,343,303.99,39.01,,
28,643.5,599.3,44.2,,
29,992.7,940.02,52.68,,
30,1776.8,1708.16,68.64,,
31,1784.8,1700.59,84.21,,
1,626.5,538.61,87.89,,
2,1218,1120.7,97.3,,
3,575,474.92,100.08,,
4,372.5,271.71,100.79,,
5,286.1,185.48,100.62,,
6,195,95.44,99.56,,
7,129.6,31.71,97.89,,
8,122.6,26.41,96.19,,
9,104.4,10.03,94.37,,
10,89,0,89,,
11,74,0,74,,
12,68.5,0,68.5,,
13,64.8,0,64.8,,
14,2553.8,2465.73,88.07,,
15,482.7,392.48,90.22,,
16,284.7,194.35,90.35,,
17,201,111.35,89.65,,
18,173.5,84.8,88.7,,
19,147.5,59.97,87.53,,
20,84,0,84,,
21,65,0,65,,
22,55,0,55,,
23,51,0,51,,
24,35,0,35,,
25,32,0,32,,
26,30.5,0,30.5,,
27,28.4,0,28.4,,
28,46.1,18.09,28.01,,
29,40.6,13.02,27.58,,
30,35.8,8.68,27.12,,
1,33,6.36,26.64,,
2,32,5.84,26.16,,
3,29.3,3.62,25.68,,
4,42.3,16.97,25.33,,
5,38.3,13.34,24.96,,
6,30,5.49,24.51,,
7,28.3,4.23,24.07,,
8,24.3,0.71,23.59,,
9,26,2.85,23.15,,
10,22,0,22,,
11,20.9,0,20.9,,
12,19.2,0,19.2,,
13,20.2,1.37,18.83,,
14,17.3,0,17.3,,
15,20,3.02,16.98,,
16,17,0.35,16.65,,
17,13,0,13,,
18,13.2,0.46,12.74,,
19,12.3,0,12.3,,
20,12.5,0.44,12.06,,
21,18,6.12,11.88,,
22,11.2,0,11.2,,
23,10.8,0,10.8,,
24,10.2,0,10.2,,
25,8.9,0,8.9,,
26,8.8,0.08,8.72,,
27,8.6,0.05,8.55,,
28,8.3,0,8.3,,
29,8.2,0.07,8.13,,
30,8.2,0.23,7.97,,
31,6.2,0,6.2,,
1,8.2,2.1,6.1,,
2,5.5,0,5.5,,
3,4.9,0,4.9,,
4,5.5,0.69,4.81,,
5,5.7,0.98,4.72,,
6,5.7,1.06,4.64,,
7,5.2,0.65,4.55,,
8,5.2,0.73,4.47,,
9,5.1,0.71,4.39,,
10,5.1,0.79,4.31,,
11,5,0.77,4.23,,
12,5,0.85,4.15,,
13,5,0.92,4.08,,
14,4.9,0.89,4.01,,
15,4.7,0.77,3.93,,
16,4.2,0.34,3.86,,
17,4,0.22,3.78,,
18,3.6,0,3.6,,
19,3.4,0,3.4,,
20,3.2,0,3.2,,
21,3,0,3,,
22,2.9,0,2.9,,
23,6.6,3.72,2.88,,
24,17,14.04,2.96,,
25,40.6,37.33,3.27,,
26,17.1,13.75,3.35,,
27,6,2.69,3.31,,
28,8.9,5.6,3.3,,
29,7.4,4.13,3.27,,
30,6.5,3.26,3.24,,
1,8.6,5.37,3.23,,
2,6.6,3.4,3.2,,
3,7.3,4.13,3.17,,
4,6.8,3.65,3.15,,
5,5.3,2.2,3.1,,
6,5.1,2.04,3.06,,
7,5.8,2.77,3.03,,
8,5.2,2.21,2.99,,
9,4.5,1.55,2.95,,
10,3.9,1,2.9,,
11,4.4,1.55,2.85,,
12,4.2,1.39,2.81,,
13,4.2,1.43,2.77,,
14,3.7,0.98,2.72,,
15,3.4,0.72,2.68,,
16,4.4,1.76,2.64,,
17,3.7,1.1,2.6,,
18,4.1,1.54,2.56,,
19,3.6,1.08,2.52,,
20,3.9,1.41,2.49,,
21,4.1,1.65,2.45,,
22,3,0.59,2.41,,
23,2.9,0.53,2.37,,
24,2.8,0.48,2.32,,
25,2.6,0.32,2.28,,
26,3,0.76,2.24,,
27,3.1,0.89,2.21,,
28,3,0.83,2.17,,
29,3,0.86,2.14,,
30,3.7,1.59,2.11,,
31,2.3,0.23,2.07,,
1,2.4,0.37,2.03,,
2,2.3,0.31,1.99,,
3,2.6,0.64,1.96,,
4,2.2,0.28,1.92,,
5,2.2,0.31,1.89,,
6,2.6,0.74,1.86,,
7,2.6,0.77,1.83,,
8,2.5,0.7,1.8,,
9,2.6,0.83,1.77,,
10,2.4,0.66,1.74,,
11,2.4,0.69,1.71,,
12,2.1,0.42,1.68,,
13,2.2,0.54,1.66,,
14,3.5,1.86,1.64,,
15,3.5,1.87,1.63,,
16,3.5,1.89,1.61,,
17,2.2,0.61,1.59,,
18,2.3,0.74,1.56,,
19,2.1,0.56,1.54,,
20,1.7,0.19,1.51,,
21,1.9,0.42,1.48,,
22,1.5,0.05,1.45,,
23,1.7,0.27,1.43,,
24,1.6,0.2,1.4,,
25,1.5,0.13,1.37,,
26,1.2,0,1.2,,
27,1.9,0.72,1.18,,
28,3.1,1.92,1.18,,
29,3.4,2.22,1.18,,
30,2.3,1.14,1.16,,
31,1.8,0.65,1.15,,
1,2.2,1.06,1.14,,
2,2.2,1.08,1.12,,
3,2,0.89,1.11,,
4,1.6,0.51,1.09,,
5,2.3,1.22,1.08,,
6,2.3,1.23,1.07,,
7,2,0.94,1.06,,
8,2.1,1.05,1.05,,
9,1.9,0.86,1.04,,
10,1.7,0.68,1.02,,
11,3,1.98,1.02,,
12,3.6,2.57,1.03,,
13,2.2,1.18,1.02,,
14,2.9,1.88,1.02,,
15,2.7,1.69,1.01,,
16,2.8,1.79,1.01,,
17,2.6,1.59,1.01,,
18,3.5,2.49,1.01,,
19,4.2,3.18,1.02,,
20,2.4,1.38,1.02,,
21,2,0.99,1.01,,
22,2.1,1.1,1,,
23,2,1.01,0.99,,
24,1.8,0.82,0.98,,
25,1.8,0.84,0.96,,
26,1.6,0.65,0.95,,
27,1.7,0.76,0.94,,
28,1.5,0.57,0.93,,
1,1.5,0.59,0.91,,
2,1.4,0.5,0.9,,
3,1.2,0.31,0.89,,
4,1.3,0.43,0.87,,
5,1.2,0.34,0.86,,
6,1.1,0.26,0.84,,
7,1,0.17,0.83,,
8,1,0.19,0.81,,
9,1,0.2,0.8,,
10,1,0.21,0.79,,
11,2.8,2.01,0.79,,
12,2.5,1.71,0.79,,
13,1,0.22,0.78,,
14,0.8,0.04,0.76,,
15,0.8,0.05,0.75,,
16,1.1,0.36,0.74,,
17,0.9,0.18,0.72,,
18,0.8,0.09,0.71,,
19,0.9,0.2,0.7,,
20,0.9,0.21,0.69,,
21,0.7,0.03,0.67,,
22,0.7,0.04,0.66,,
23,0.7,0.05,0.65,,
24,0.7,0.07,0.63,,
25,0.7,0.08,0.62,,
26,0.7,0.09,0.61,,
27,0.7,0.1,0.6,,
28,0.6,0.01,0.59,,
29,0.7,0.12,0.58,,
30,0.6,0.03,0.57,,
31,0.7,0.14,0.56,,
1,0.7,0.15,0.55,,
2,0.6,0.06,0.54,,
3,0.6,0.07,0.53,,
4,0.5,0,0.5,,
5,0.6,0.11,0.49,,
6,0.6,0.12,0.48,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,0,0,0,,
22,0,0,0,,
23,0,0,0,,
24,0,0,0,,
25,0,0,0,,
26,0,0,0,,
27,0,0,0,,
28,0,0,0,,
29,0,0,0,,
30,0,0,0,,
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,0,0,0,,
22,0,0,0,,
23,0,0,0,,
24,0,0,0,,
25,0,0,0,,
26,0,0,0,,
27,0,0,0,,
28,0,0,0,,
29,0,0,0,,
30,0,0,0,,
31,0,0,0,,
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0.5,0.5,0,,
20,150,148.52,1.48,,
21,35,33.21,1.79,,
22,16,14.11,1.89,,
23,22,19.95,2.05,,
24,24,21.77,2.23,,
25,18,15.66,2.34,,
26,2.9,0.6,2.3,,
27,4.9,2.62,2.28,,
28,5.4,3.14,2.26,,
29,45,42.36,2.64,,
30,34,31.1,2.9,,
1,128.5,124.42,4.08,,
2,130,124.76,5.24,,
3,50.4,44.82,5.58,,
4,51.2,45.28,5.92,,
5,52,45.74,6.26,,
6,164,156.31,7.69,,
7,112.7,104.13,8.57,,
8,154,144.16,9.84,,
9,164.3,153.13,11.17,,
10,117.6,105.6,12,,
11,268,253.72,14.28,,
12,55.4,40.99,14.41,,
13,940,916.75,23.25,,
14,331.5,305.67,25.83,,
15,165.3,138.6,26.7,,
16,120.3,93.21,27.09,,
