           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.271
1,793.6,396.8,396.8,,
2,2649,2237.84,411.16,,
3,155.6,0,155.6,,
4,428,272.79,155.21,,
5,115.5,0,115.5,,
6,45.7,0,45.7,,
7,82.5,37.34,45.16,,
8,32.77,0,32.77,,
9,31.73,0,31.73,,
10,292,258.33,33.67,,
11,164.4,130.11,34.29,,
12,98.9,64.65,34.25,,
13,100.3,66.08,34.22,,
14,57.5,23.72,33.78,,
15,47.5,14.26,33.24,,
16,46.66,13.94,32.72,,
17,40.45,8.31,32.14,,
18,67.97,36.11,31.86,,
19,55.63,24.17,31.46,,
20,50.72,19.69,31.03,,
21,36.25,5.78,30.47,,
22,48.21,18.17,30.04,,
23,62.71,32.94,29.77,,
24,50,20.62,29.38,,
25,61.27,32.16,29.11,,
26,75.11,46.12,28.99,,
27,52.44,23.79,28.65,,
28,67.5,39.04,28.46,,
29,56.83,28.65,28.18,,
30,40.05,12.31,27.74,,
31,34.04,6.79,27.25,,
1,38.19,11.37,26.82,,
2,38,11.6,26.4,,
3,29.81,3.9,25.91,,
4,45,19.42,25.58,,
5,25.64,0.56,25.08,,
6,24.45,0,24.45,,
7,25.69,1.71,23.98,,
8,53.61,29.81,23.8,,
9,80,56.12,23.88,,
10,54.38,30.67,23.71,,
11,45,21.55,23.45,,
12,50,26.76,23.24,,
13,25.6,2.79,22.81,,
14,27.57,5.17,22.4,,
15,26.67,4.67,22,,
16,28.37,6.74,21.63,,
17,30.82,9.53,21.29,,
18,37.5,16.47,21.03,,
19,26.04,5.38,20.66,,
20,24.92,4.62,20.3,,
21,23.3,3.38,19.92,,
22,129.2,108.59,20.61,,
23,31.44,11.13,20.31,,
24,35.04,14.99,20.05,,
25,32.5,12.73,19.77,,
26,28.23,8.76,19.47,,
27,25.43,6.29,19.14,,
28,23.44,4.64,18.8,,
29,23.17,4.7,18.47,,
30,39.23,20.92,18.31,,
1,19.65,1.69,17.96,,
2,20,2.37,17.63,,
3,23.87,6.53,17.34,,
4,23.28,6.22,17.06,,
5,23.37,6.59,16.78,,
6,24.77,8.24,16.53,,
7,23.39,7.12,16.27,,
8,21.73,5.73,16,,
9,21,5.27,15.73,,
10,20.8,5.33,15.47,,
11,20.42,5.21,15.21,,
12,19.9,4.94,14.96,,
13,19.28,4.58,14.7,,
14,18.67,4.22,14.45,,
15,18.03,3.83,14.2,,
16,17.04,3.09,13.95,,
17,16.9,3.2,13.7,,
18,16,2.55,13.45,,
19,15.31,2.11,13.2,,
20,14.88,1.92,12.96,,
21,14.88,2.16,12.72,,
22,14.26,1.78,12.48,,
23,12.25,0.02,12.23,,
24,12.25,0.26,11.99,,
25,11.92,0.17,11.75,,
26,11.94,0.42,11.52,,
27,11.32,0.03,11.29,,
28,11.62,0.55,11.07,,
29,11.49,0.63,10.86,,
30,11.5,0.85,10.65,,
31,11.02,0.58,10.44,,
1,10.93,0.69,10.24,,
2,10.56,0.52,10.04,,
3,10.57,0.72,9.85,,
4,10.24,0.58,9.66,,
5,10.08,0.61,9.47,,
6,10.08,0.79,9.29,,
7,9.93,0.82,9.11,,
8,9.87,0.93,8.94,,
9,9.22,0.46,8.76,,
10,9.22,0.63,8.59,,
11,9.15,0.72,8.43,,
12,8.87,0.61,8.27,,
13,8,0,8,,
14,7.3,0,7.3,,
15,7.3,0.14,7.16,,
16,6.98,0,6.98,,
17,6.47,0,6.47,,
18,6.26,0,6.26,,
19,6.46,0.32,6.14,,
20,6.4,0.38,6.02,,
21,6.34,0.44,5.9,,
22,6.14,0.35,5.79,,
23,6.1,0.42,5.68,,
24,6.05,0.49,5.57,,
25,5.86,0.4,5.46,,
26,5.76,0.4,5.36,,
27,5.76,0.51,5.25,,
28,4.66,0,4.66,,
29,5.13,0.56,4.57,,
30,4.64,0.16,4.48,,
1,5.14,0.74,4.4,,
2,5.01,0.69,4.32,,
3,5.97,1.72,4.25,,
4,4.62,0.45,4.17,,
5,4.62,0.53,4.09,,
6,4.6,0.59,4.01,,
