Dates,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-88,793.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Aug-88,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug-88,155.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-88,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Aug-88,115.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Aug-88,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Aug-88,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Aug-88,32.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Aug-88,31.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-88,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-88,164.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug-88,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Aug-88,100.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Aug-88,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Aug-88,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Aug-88,46.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-88,40.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug-88,67.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug-88,55.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug-88,50.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Aug-88,36.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug-88,48.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug-88,62.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-88,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-88,61.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug-88,75.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Aug-88,52.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug-88,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug-88,56.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug-88,40.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug-88,34.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-88,38.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Sep-88,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Sep-88,29.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Sep-88,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Sep-88,25.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Sep-88,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Sep-88,25.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Sep-88,53.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Sep-88,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep-88,54.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep-88,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep-88,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep-88,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Sep-88,27.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Sep-88,26.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Sep-88,28.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Sep-88,30.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Sep-88,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Sep-88,26.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
