           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,,Base Flow Index (BFI): 0.304
1,1.6,0.8,0.8,,,
2,1.6,0.8,0.8,,,
3,1.6,0.81,0.79,,,
4,1.6,0.81,0.79,,,
5,1.6,0.81,0.79,,,
6,1.6,0.82,0.78,,,
7,1.6,0.82,0.78,,,
8,1.6,0.82,0.78,,,
9,1.6,0.82,0.78,,,
10,1.6,0.83,0.77,,,
11,1.6,0.83,0.77,,,
12,2,1.22,0.78,,,
13,2.1,1.32,0.78,,,
14,6.2,5.35,0.85,,,
15,3.7,2.82,0.88,,,
16,3,2.11,0.89,,,
17,2.8,1.89,0.91,,,
18,2.5,1.59,0.91,,,
19,2.3,1.38,0.92,,,
20,2,1.08,0.92,,,
21,2.5,1.58,0.92,,,
22,2.5,1.57,0.93,,,
23,40,38.48,1.52,,,
24,6.3,4.73,1.57,,,
25,76.8,74.09,2.71,,,
26,192.4,186.78,5.62,,,
27,758.3,741.03,17.27,,,
28,144.1,125.19,18.91,,,
29,410,385.35,24.65,,,
30,85.5,60.38,25.12,,,
1,195.2,167.92,27.28,,,
2,168.7,139.75,28.95,,,
3,83,53.77,29.23,,,
4,66.2,36.97,29.23,,,
5,83.8,54.29,29.51,,,
6,90.7,60.82,29.88,,,
7,200,168.05,31.95,,,
8,100,67.61,32.39,,,
9,90.9,58.24,32.66,,,
10,56.1,23.71,32.39,,,
11,51,18.96,32.04,,,
12,47.3,15.65,31.65,,,
13,46.6,15.34,31.26,,,
14,41.8,10.99,30.81,,,
15,41.1,10.74,30.36,,,
16,877.5,834.5,43,,,
17,208.3,163.56,44.74,,,
18,157.2,111.58,45.62,,,
19,194.8,147.75,47.05,,,
20,182.4,134.16,48.24,,,
21,148.6,99.74,48.86,,,
22,202.3,152.01,50.29,,,
23,96.8,46.77,50.03,,,
24,95,45.25,49.75,,,
25,103.7,54.09,49.61,,,
26,192.3,141.44,50.86,,,
27,112.8,61.97,50.83,,,
28,87.7,37.29,50.41,,,
29,73.7,23.92,49.78,,,
30,78.6,29.35,49.25,,,
31,70,21.4,48.6,,,
1,58.9,11.09,47.81,,,
2,64.2,17.08,47.12,,,
3,51.1,4.84,46.26,,,
4,144.1,97.23,46.87,,,
5,197.4,149.1,48.3,,,
6,175.7,126.36,49.34,,,
7,2734.6,2644.27,90.33,,,
8,348.2,255.62,92.58,,,
9,307.2,213.09,94.11,,,
10,340.3,244.19,96.11,,,
11,230,133.69,96.31,,,
12,1168.9,1057.73,111.17,,,
13,521.3,405.91,115.39,,,
14,215.9,101.21,114.69,,,
15,170,56.7,113.3,,,
16,127.2,15.91,111.29,,,
17,129.1,19.73,109.37,,,
18,99.8,0,99.8,,,
19,82.4,0,82.4,,,
20,73.1,0,73.1,,,
21,90,18.08,71.92,,,
22,399.1,323.48,75.62,,,
23,192.4,116.44,75.96,,,
24,1660,1560.79,99.21,,,
25,748.6,641.19,107.41,,,
26,326,217.29,108.71,,,
27,415.7,304.33,111.37,,,
28,306.8,194.57,112.23,,,
29,552.9,435.99,116.91,,,
30,721,596.96,124.04,,,
31,390.3,264.54,125.76,,,
1,350,223.21,126.79,,,
2,443.2,313.96,129.24,,,
3,316.8,187.18,129.62,,,
4,420.3,288.68,131.62,,,
5,343,210.67,132.33,,,
6,182,51.5,130.5,,,
7,138.4,10.35,128.05,,,
8,138.1,12.41,125.69,,,
9,111.5,0,111.5,,,
10,100.6,0,100.6,,,
11,70,0,70,,,
12,311,238.61,72.39,,,
13,599.7,520.5,79.2,,,
14,450.6,367.15,83.45,,,
15,245.9,161.56,84.34,,,
16,159.8,75.94,83.86,,,
17,150,66.76,83.24,,,
18,114.8,32.7,82.1,,,
19,110,29.08,80.92,,,
20,95,15.46,79.54,,,
21,80,2.01,77.99,,,
22,75,0,75,,,
23,70,0,70,,,
24,60,0,60,,,
25,55,0,55,,,
26,50,0,50,,,
27,43.8,0,43.8,,,
28,42.5,0,42.5,,,
29,135,91.89,43.11,,,
30,50,7.63,42.37,,,
1,40,0,40,,,
2,45,5.71,39.29,,,
3,44.9,6.3,38.6,,,
4,2122.2,2051.8,70.4,,,
5,275,202.79,72.21,,,
6,128.1,56.43,71.67,,,
7,112.4,41.51,70.89,,,
8,95.5,25.62,69.88,,,
9,72.1,3.56,68.54,,,
10,66.8,0,66.8,,,
11,56.5,0,56.5,,,
12,55,0,55,,,
13,52.5,0,52.5,,,
14,50,0,50,,,
15,45,0,45,,,
16,42.5,0,42.5,,,
17,40,0,40,,,
18,38,0,38,,,
19,35,0,35,,,
20,34,0,34,,,
21,30,0,30,,,
22,28,0,28,,,
23,25,0,25,,,
