Dates,Q
01-Jun-77,1.6
02-Jun-77,1.6
03-Jun-77,1.6
04-Jun-77,1.6
05-Jun-77,1.6
06-Jun-77,1.6
07-Jun-77,1.6
08-Jun-77,1.6
09-Jun-77,1.6
10-Jun-77,1.6
11-Jun-77,1.6
12-Jun-77,2
13-Jun-77,2.1
14-Jun-77,6.2
15-Jun-77,3.7
16-Jun-77,3
17-Jun-77,2.8
18-Jun-77,2.5
19-Jun-77,2.3
20-Jun-77,2
21-Jun-77,2.5
22-Jun-77,2.5
23-Jun-77,40
24-Jun-77,6.3
25-Jun-77,76.8
26-Jun-77,192.4
27-Jun-77,758.3
28-Jun-77,144.1
29-Jun-77,410
30-Jun-77,85.5
01-Jul-77,195.2
02-Jul-77,168.7
03-Jul-77,83
04-Jul-77,66.2
05-Jul-77,83.8
06-Jul-77,90.7
07-Jul-77,200
08-Jul-77,100
09-Jul-77,90.9
10-Jul-77,56.1
11-Jul-77,51
12-Jul-77,47.3
13-Jul-77,46.6
14-Jul-77,41.8
15-Jul-77,41.1
16-Jul-77,877.5
17-Jul-77,208.3
18-Jul-77,157.2
19-Jul-77,194.8
20-Jul-77,182.4
21-Jul-77,148.6
22-Jul-77,202.3
23-Jul-77,96.8
24-Jul-77,95
25-Jul-77,103.7
26-Jul-77,192.3
27-Jul-77,112.8
28-Jul-77,87.7
29-Jul-77,73.7
30-Jul-77,78.6
31-Jul-77,70
01-Aug-77,58.9
02-Aug-77,64.2
03-Aug-77,51.1
04-Aug-77,144.1
05-Aug-77,197.4
06-Aug-77,175.7
07-Aug-77,2734.6
08-Aug-77,348.2
09-Aug-77,307.2
10-Aug-77,340.3
11-Aug-77,230
12-Aug-77,1168.9
13-Aug-77,521.3
14-Aug-77,215.9
15-Aug-77,170
16-Aug-77,127.2
17-Aug-77,129.1
18-Aug-77,99.8
19-Aug-77,82.4
20-Aug-77,73.1
21-Aug-77,90
22-Aug-77,399.1
23-Aug-77,192.4
24-Aug-77,1660
25-Aug-77,748.6
26-Aug-77,326
27-Aug-77,415.7
28-Aug-77,306.8
29-Aug-77,552.9
30-Aug-77,721
31-Aug-77,390.3
01-Sep-77,350
02-Sep-77,443.2
03-Sep-77,316.8
04-Sep-77,420.3
05-Sep-77,343
06-Sep-77,182
07-Sep-77,138.4
08-Sep-77,138.1
09-Sep-77,111.5
10-Sep-77,100.6
11-Sep-77,70
12-Sep-77,311
13-Sep-77,599.7
14-Sep-77,450.6
15-Sep-77,245.9
16-Sep-77,159.8
17-Sep-77,150
18-Sep-77,114.8
19-Sep-77,110
20-Sep-77,95
21-Sep-77,80
22-Sep-77,75
23-Sep-77,70
24-Sep-77,60
25-Sep-77,55
26-Sep-77,50
27-Sep-77,43.8
28-Sep-77,42.5
29-Sep-77,135
30-Sep-77,50
01-Oct-77,40
02-Oct-77,45
03-Oct-77,44.9
04-Oct-77,2122.2
05-Oct-77,275
06-Oct-77,128.1
07-Oct-77,112.4
08-Oct-77,95.5
09-Oct-77,72.1
10-Oct-77,66.8
11-Oct-77,56.5
12-Oct-77,55
13-Oct-77,52.5
14-Oct-77,50
15-Oct-77,45
16-Oct-77,42.5
17-Oct-77,40
18-Oct-77,38
19-Oct-77,35
20-Oct-77,34
21-Oct-77,30
22-Oct-77,28
23-Oct-77,25
24-Oct-77,25
25-Oct-77,24
26-Oct-77,18.5
27-Oct-77,19.2
28-Oct-77,20
29-Oct-77,18
30-Oct-77,18
31-Oct-77,19.3
01-Nov-77,18
02-Nov-77,16
03-Nov-77,15.4
04-Nov-77,15
05-Nov-77,14.4
06-Nov-77,15
07-Nov-77,14.1
08-Nov-77,14
09-Nov-77,12.5
10-Nov-77,11.3
11-Nov-77,11
12-Nov-77,10.8
13-Nov-77,11
14-Nov-77,11
15-Nov-77,11
16-Nov-77,11
17-Nov-77,10.6
18-Nov-77,9.9
19-Nov-77,10.1
20-Nov-77,10
21-Nov-77,10
22-Nov-77,10
23-Nov-77,11
24-Nov-77,640
25-Nov-77,170
26-Nov-77,80
27-Nov-77,50
28-Nov-77,40
29-Nov-77,32.9
30-Nov-77,30.6
01-Dec-77,31
02-Dec-77,31.2
03-Dec-77,23.8
04-Dec-77,22.8
05-Dec-77,22.1
06-Dec-77,19.9
07-Dec-77,19.7
08-Dec-77,18.4
09-Dec-77,18.1
10-Dec-77,17.6
11-Dec-77,17
12-Dec-77,16.5
13-Dec-77,16.5
14-Dec-77,18.2
15-Dec-77,15.6
16-Dec-77,15.2
17-Dec-77,15
18-Dec-77,15
19-Dec-77,14.6
20-Dec-77,12
21-Dec-77,11.8
22-Dec-77,11.4
23-Dec-77,11.4
24-Dec-77,10.7
25-Dec-77,10.5
26-Dec-77,10.1
27-Dec-77,10.8
28-Dec-77,10.2
29-Dec-77,10.3
30-Dec-77,10.2
31-Dec-77,9.4
01-Jan-78,8.8
02-Jan-78,8.8
03-Jan-78,8.9
04-Jan-78,8.6
05-Jan-78,8.4
06-Jan-78,8.5
07-Jan-78,8.5
08-Jan-78,8.4
09-Jan-78,8.7
10-Jan-78,7.9
11-Jan-78,8
12-Jan-78,8
13-Jan-78,7.8
14-Jan-78,7.7
15-Jan-78,7.8
16-Jan-78,7.7
17-Jan-78,7.4
18-Jan-78,7.4
19-Jan-78,7.1
20-Jan-78,7
21-Jan-78,7.4
22-Jan-78,7.8
23-Jan-78,7.8
24-Jan-78,8.2
25-Jan-78,7.6
26-Jan-78,7
27-Jan-78,6.9
28-Jan-78,6.8
29-Jan-78,6.6
30-Jan-78,6.6
31-Jan-78,6.5
01-Feb-78,6.7
02-Feb-78,7.8
03-Feb-78,7.4
04-Feb-78,20.1
05-Feb-78,10.1
06-Feb-78,9.2
07-Feb-78,9.6
08-Feb-78,9.5
09-Feb-78,8.3
10-Feb-78,8.4
11-Feb-78,7.4
