           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.169
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,0,0,0,,
22,0,0,0,,
23,0,0,0,,
24,0,0,0,,
25,0,0,0,,
26,0,0,0,,
27,0,0,0,,
28,0,0,0,,
29,0,0,0,,
30,0,0,0,,
1,0.9,0.89,0.01,,
2,2.4,2.38,0.02,,
3,2.5,2.46,0.04,,
4,2.8,2.74,0.06,,
5,5.8,5.71,0.09,,
6,4.3,4.18,0.12,,
7,16.2,15.98,0.22,,
8,307,304.75,2.25,,
9,250,246.15,3.85,,
10,286,280.36,5.64,,
11,468,459.41,8.59,,
12,358,347.27,10.73,,
13,282,269.69,12.31,,
14,279,265.16,13.84,,
15,43.3,29.54,13.76,,
16,34.5,20.88,13.62,,
17,14.4,1.05,13.35,,
18,18.3,5.18,13.12,,
19,17,4.11,12.89,,
20,17.7,5.04,12.66,,
21,14.8,2.37,12.43,,
22,16.1,3.9,12.2,,
23,12,0.04,11.96,,
24,461.7,447,14.7,,
25,150.5,135.19,15.31,,
26,204.6,188.34,16.26,,
27,134.3,117.58,16.72,,
28,70.2,53.46,16.74,,
29,60.8,44.1,16.7,,
30,56.4,39.77,16.63,,
31,51,34.47,16.53,,
1,38.4,22.06,16.34,,
2,36.1,19.95,16.15,,
3,32.8,16.86,15.94,,
4,35.8,20.05,15.75,,
5,34.1,18.54,15.56,,
6,41,25.58,15.42,,
7,33.6,18.37,15.23,,
8,32.7,17.65,15.05,,
9,34.6,19.72,14.88,,
10,27,12.34,14.66,,
11,27,12.55,14.45,,
12,26.1,11.86,14.24,,
13,26.8,12.76,14.04,,
14,26.1,12.26,13.84,,
15,25,11.36,13.64,,
16,194.5,179.93,14.57,,
