           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,,Base Flow Index (BFI): 0.241
1,0.1,0.05,0.05,,,
2,0.1,0.05,0.05,,,
3,0.1,0.05,0.05,,,
4,0.1,0.05,0.05,,,
5,0.1,0.05,0.05,,,
6,0.1,0.05,0.05,,,
7,0.1,0.05,0.05,,,
8,0.1,0.05,0.05,,,
9,0.1,0.05,0.05,,,
10,0.1,0.05,0.05,,,
11,0.1,0.05,0.05,,,
12,0.1,0.06,0.04,,,
13,0.1,0.06,0.04,,,
14,0.1,0.06,0.04,,,
15,0.1,0.06,0.04,,,
16,0.1,0.06,0.04,,,
17,21.4,21.17,0.23,,,
18,14,13.66,0.34,,,
19,4.4,4.03,0.37,,,
20,1.7,1.32,0.38,,,
21,44,43.25,0.75,,,
22,293,289.72,3.28,,,
23,212.5,207.47,5.03,,,
24,163,156.69,6.31,,,
25,131,123.73,7.27,,,
26,57.5,49.94,7.56,,,
27,46,38.26,7.74,,,
28,318,307.71,10.29,,,
29,236.4,224.35,12.05,,,
30,139,126.08,12.92,,,
1,353,337.38,15.62,,,
2,218.5,201.42,17.08,,,
3,248,229.25,18.75,,,
4,164,144.36,19.64,,,
5,168,147.46,20.54,,,
6,426.5,402.83,23.67,,,
7,170,145.53,24.47,,,
8,127.8,102.92,24.88,,,
9,123.5,98.25,25.25,,,
10,345,317.47,27.53,,,
11,161,132.85,28.15,,,
12,209.5,180.33,29.17,,,
13,193.5,163.48,30.02,,,
14,345,312.84,32.16,,,
15,159,126.37,32.63,,,
16,129,96.18,32.82,,,
17,120,87.07,32.93,,,
18,187,153.38,33.62,,,
19,138,104.14,33.86,,,
20,113,79.13,33.87,,,
21,81,47.39,33.61,,,
22,368,332.14,35.86,,,
23,368,329.97,38.03,,,
24,193.5,154.87,38.63,,,
25,266.5,226.65,39.85,,,
26,348,306.26,41.74,,,
27,294.5,251.39,43.11,,,
28,284.5,240.14,44.36,,,
29,141.5,97.18,44.32,,,
30,224,178.99,45.01,,,
31,172,126.78,45.22,,,
1,439,391.25,47.75,,,
2,333.5,284.21,49.29,,,
3,238,188.05,49.95,,,
4,268,217.14,50.86,,,
5,730.5,674.73,55.77,,,
6,469,410.74,58.26,,,
7,298,238.81,59.19,,,
8,244,184.38,59.62,,,
9,250,189.9,60.1,,,
10,290.5,229.59,60.91,,,
11,298,236.24,61.76,,,
