           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.350
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,0,0,0,,
22,0,0,0,,
23,0,0,0,,
24,0,0,0,,
25,0,0,0,,
26,0,0,0,,
27,0,0,0,,
28,0,0,0,,
29,0,0,0,,
30,0,0,0,,
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,0,0,0,,
22,0,0,0,,
23,0,0,0,,
24,0,0,0,,
25,0,0,0,,
26,0,0,0,,
27,0,0,0,,
28,0,0,0,,
29,0,0,0,,
30,0,0,0,,
31,0,0,0,,
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,0,0,0,,
17,0,0,0,,
18,0,0,0,,
19,0,0,0,,
20,0,0,0,,
21,0,0,0,,
22,0,0,0,,
23,0,0,0,,
24,0,0,0,,
25,0,0,0,,
26,0,0,0,,
27,0,0,0,,
28,0,0,0,,
29,0,0,0,,
30,9.9,9.73,0.17,,
31,10.8,10.45,0.35,,
1,10.8,10.27,0.53,,
2,10,9.32,0.68,,
3,10.7,9.85,0.85,,
4,10.4,9.4,1,,
5,9.8,8.67,1.13,,
6,9.4,8.15,1.25,,
